Hybridization.REF	TCGA.RZ.AB0B.01A.11R.A405.07	TCGA.V3.A9ZX.01A.11R.A405.07	TCGA.V3.A9ZY.01A.11R.A405.07	TCGA.V4.A9E5.01A.11R.A405.07	TCGA.V4.A9E7.01A.11R.A405.07	TCGA.V4.A9E8.01A.11R.A405.07	TCGA.V4.A9E9.01A.11R.A405.07	TCGA.V4.A9EA.01A.11R.A405.07	TCGA.V4.A9EC.01A.11R.A405.07	TCGA.V4.A9ED.01A.11R.A405.07	TCGA.V4.A9EE.01A.11R.A405.07	TCGA.V4.A9EF.01A.21R.A405.07	TCGA.V4.A9EH.01A.11R.A405.07	TCGA.V4.A9EI.01A.11R.A405.07	TCGA.V4.A9EJ.01A.11R.A405.07	TCGA.V4.A9EK.01A.11R.A405.07	TCGA.V4.A9EL.01A.11R.A405.07	TCGA.V4.A9EM.01A.11R.A405.07	TCGA.V4.A9EO.01A.12R.A405.07	TCGA.V4.A9EQ.01A.11R.A405.07	TCGA.V4.A9ES.01A.11R.A405.07	TCGA.V4.A9ET.01A.11R.A405.07	TCGA.V4.A9EU.01A.11R.A405.07	TCGA.V4.A9EV.01A.11R.A405.07	TCGA.V4.A9EW.01A.11R.A405.07	TCGA.V4.A9EX.01A.11R.A405.07	TCGA.V4.A9EY.01A.11R.A405.07	TCGA.V4.A9EZ.01A.11R.A405.07	TCGA.V4.A9F0.01A.11R.A405.07	TCGA.V4.A9F1.01A.11R.A405.07	TCGA.V4.A9F2.01A.11R.A405.07	TCGA.V4.A9F3.01A.11R.A405.07	TCGA.V4.A9F4.01A.11R.A405.07	TCGA.V4.A9F5.01A.11R.A405.07	TCGA.V4.A9F7.01A.11R.A405.07	TCGA.V4.A9F8.01A.11R.A405.07	TCGA.VD.A8K7.01B.11R.A405.07	TCGA.VD.A8K8.01A.11R.A405.07	TCGA.VD.A8K9.01A.11R.A405.07	TCGA.VD.A8KA.01B.11R.A405.07	TCGA.VD.A8KB.01A.11R.A405.07	TCGA.VD.A8KD.01A.11R.A405.07	TCGA.VD.A8KE.01A.11R.A405.07	TCGA.VD.A8KF.01A.11R.A405.07	TCGA.VD.A8KG.01A.11R.A405.07	TCGA.VD.A8KH.01A.11R.A405.07	TCGA.VD.A8KI.01A.11R.A405.07	TCGA.VD.A8KJ.01A.11R.A405.07	TCGA.VD.A8KK.01A.11R.A405.07	TCGA.VD.A8KL.01A.11R.A405.07	TCGA.VD.A8KM.01A.11R.A405.07	TCGA.VD.A8KN.01A.11R.A405.07	TCGA.VD.A8KO.01A.11R.A405.07	TCGA.VD.AA8M.01A.11R.A405.07	TCGA.VD.AA8N.01A.11R.A405.07	TCGA.VD.AA8O.01A.11R.A405.07	TCGA.VD.AA8P.01A.11R.A405.07	TCGA.VD.AA8Q.01A.11R.A405.07	TCGA.VD.AA8R.01A.11R.A405.07	TCGA.VD.AA8S.01B.11R.A405.07	TCGA.VD.AA8T.01A.11R.A405.07	TCGA.WC.A87T.01A.11R.A405.07	TCGA.WC.A87U.01A.11R.A405.07	TCGA.WC.A87W.01A.11R.A405.07	TCGA.WC.A87Y.01A.11R.A405.07	TCGA.WC.A880.01A.11R.A405.07	TCGA.WC.A881.01A.12R.A405.07	TCGA.WC.A882.01A.11R.A405.07	TCGA.WC.A883.01A.12R.A405.07	TCGA.WC.A884.01A.11R.A405.07	TCGA.WC.A885.01A.11R.A405.07	TCGA.WC.A888.01A.11R.A405.07	TCGA.WC.A88A.01A.11R.A405.07	TCGA.WC.AA9A.01A.11R.A405.07	TCGA.WC.AA9E.01A.11R.A405.07	TCGA.YZ.A980.01A.11R.A405.07	TCGA.YZ.A982.01A.11R.A405.07	TCGA.YZ.A983.01A.11R.A405.07	TCGA.YZ.A984.01A.11R.A405.07	TCGA.YZ.A985.01A.11R.A405.07
AB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABC	15.55	0.04	0.00	3.71	2.00	0.00	1.00	0.00	3.00	0.00	13.99	0.00	10.69	3.45	1.47	2.26	0.00	6.78	0.00	1.00	0.00	0.00	20.62	6.44	4.82	4.50	0.00	1.00	0.00	6.87	0.00	1.55	1.01	0.00	11.03	2.08	44.18	4.85	0.00	0.00	0.00	0.00	5.00	15.91	3.29	11.71	1.00	4.15	0.00	0.00	3.06	0.00	13.28	2.00	0.00	3.22	3.00	0.00	1.00	0.00	13.02	20.86	0.00	11.48	9.46	2.58	0.00	0.66	2.00	1.00	0.00	0.00	1.00	2.98	34.57	10.07	2.00	5.27	0.00	0.00
A	9.45	3.96	1.00	3.29	8.00	2.00	6.00	4.00	0.00	5.00	25.01	6.00	12.31	6.55	6.53	8.74	2.00	5.22	1.00	15.00	3.00	7.00	13.38	5.56	5.18	23.50	1.00	1.00	4.00	7.13	7.00	5.45	3.99	4.00	12.97	4.92	20.82	6.15	9.00	12.00	1.00	6.00	0.00	13.09	1.71	3.29	3.00	3.85	7.00	4.00	1.94	3.00	7.72	8.00	1.00	2.78	0.00	4.00	14.00	0.00	12.98	11.14	11.00	22.52	15.54	7.42	9.00	3.34	3.00	10.00	4.00	7.00	4.00	21.02	10.43	18.93	0.00	17.73	1.00	3.00
J	178.31	166.62	39.87	26.00	92.47	34.88	44.35	7.82	50.25	81.12	321.91	97.07	122.88	314.85	127.91	132.69	249.26	56.82	209.12	30.00	112.30	59.75	214.57	188.39	158.16	276.00	14.00	8.00	162.07	149.56	56.91	201.15	131.14	98.61	169.32	52.30	165.70	235.96	162.21	116.22	97.95	199.10	58.60	187.37	100.33	195.62	96.40	186.20	54.17	56.19	237.19	98.09	104.55	45.83	28.60	69.95	112.77	31.00	142.09	59.10	269.77	208.73	194.85	243.13	138.57	101.73	80.24	19.59	148.84	82.73	36.86	100.87	113.04	193.81	194.77	143.37	44.75	96.15	33.82	26.71
K	1889.00	1586.00	877.00	985.00	2164.00	1101.00	1209.00	494.00	1161.00	1635.00	3047.00	1481.00	2023.00	3825.00	1409.00	873.00	3243.00	1251.00	1619.00	1690.00	2647.00	1135.00	2027.00	2293.00	1459.00	3405.00	557.00	831.00	2222.00	4119.00	835.00	1896.00	1171.00	1945.00	1472.00	878.00	1376.00	2623.00	2395.00	1580.00	1065.00	2162.00	1293.00	1416.00	2123.00	2271.00	1639.00	2067.00	1699.00	1108.00	3174.00	1736.00	1058.00	902.00	715.00	1395.00	1561.00	811.00	1460.00	1393.00	2357.00	1488.00	1641.00	1341.00	2350.00	1267.00	1226.00	568.00	3083.00	1597.00	715.00	1451.00	1560.00	3061.00	2148.00	1949.00	777.00	1165.00	869.00	562.00
FB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ALP1	342.00	187.00	128.00	42.00	157.00	69.00	29.00	48.00	65.00	94.00	748.00	128.00	366.00	424.00	165.00	302.00	815.00	133.00	215.00	101.00	260.00	139.00	621.00	463.00	267.00	620.00	43.00	80.00	219.00	296.00	162.00	657.00	250.00	67.00	630.00	37.00	686.00	350.00	351.00	221.00	387.00	419.00	235.00	975.00	142.00	437.00	92.00	486.00	121.00	74.00	306.00	200.00	386.00	98.00	23.00	39.00	70.00	73.00	241.00	103.00	1335.00	1014.00	405.00	461.00	405.00	150.00	276.00	53.00	260.00	82.00	33.00	154.00	91.00	353.00	435.00	424.00	62.00	298.00	36.00	41.00
BRCAX	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	4.00	1.00	0.00	0.00	0.00	1.00	2.00	1.00	1.00	1.00	3.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	1.00	0.00	3.00	0.00	2.00	1.00	4.00	3.00	3.00	2.00	0.00	2.00	0.00	2.00	0.00	2.00	3.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00	2.00	2.00	2.00	3.00	0.00	0.00	0.00	2.00	1.00	0.00	1.00	0.00	1.00	4.00	1.00	0.00	0.00	0.00	0.00
NN123	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
LDLF	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
